Table Name,State Code,Distt. Code,Tehsil Code,Town Code,Area Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Persons,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Males,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
C0101,33,602,05697,628980,Srikalikapuram (CT),Urban,5044,2597,2447,5026,2586,2440,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2
C0101,33,602,05697,803320,Pallipattu (TP),Urban,8721,4308,4413,7646,3790,3856,816,390,426,201,100,101,1,1,0,0,0,0,11,8,3,0,0,0,46,19,27
C0101,33,602,05697,803321,Pothatturpettai (TP),Urban,22040,11162,10878,21601,10941,10660,331,169,162,39,20,19,3,2,1,0,0,0,0,0,0,0,0,0,66,30,36
C0101,33,602,05698,000000,Sub-District - Thiruvallur,Total,407048,203911,203137,370047,185672,184375,9162,4619,4543,25037,12337,12700,64,32,32,97,44,53,411,220,191,15,4,11,2215,983,1232
C0101,33,602,05698,000000,Sub-District - Thiruvallur,Rural,289759,144915,144844,266024,133191,132833,3582,1789,1793,18691,9282,9409,48,24,24,52,22,30,20,11,9,7,0,7,1335,596,739
C0101,33,602,05698,000000,Sub-District - Thiruvallur,Urban,117289,58996,58293,104023,52481,51542,5580,2830,2750,6346,3055,3291,16,8,8,45,22,23,391,209,182,8,4,4,880,387,493
C0101,33,602,05698,629119,Kakkalur (CT),Urban,14528,7290,7238,13310,6711,6599,171,81,90,966,462,504,1,1,0,2,1,1,1,0,1,4,2,2,73,32,41
C0101,33,602,05698,629120,Thozhur (CT),Urban,5698,2824,2874,5390,2678,2712,37,20,17,203,97,106,1,1,0,0,0,0,0,0,0,0,0,0,67,28,39
C0101,33,602,05698,629121,Vengathur (CT),Urban,23292,11873,11419,21286,10865,10421,823,418,405,1044,514,530,1,1,0,2,1,1,52,27,25,0,0,0,84,47,37
C0101,33,602,05698,629122,Kadambathur (CT),Urban,11235,5667,5568,10258,5191,5067,348,176,172,522,245,277,1,0,1,18,9,9,62,33,29,4,2,2,22,11,11
C0101,33,602,05698,629123,Perambakkam (CT),Urban,6462,3297,3165,5303,2704,2599,906,458,448,153,76,77,1,1,0,12,7,5,80,48,32,0,0,0,7,3,4
C0101,33,602,05698,803322,Thiruvallur (M),Urban,56074,28045,28029,48476,24332,24144,3295,1677,1618,3458,1661,1797,11,4,7,11,4,7,196,101,95,0,0,0,627,266,361
C0101,33,602,05699,000000,Sub-District - Poonamallee,Total,659922,333307,326615,571173,288999,282174,28744,14600,14144,56282,27985,28297,326,190,136,181,104,77,574,291,283,168,75,93,2474,1063,1411
C0101,33,602,05699,000000,Sub-District - Poonamallee,Rural,65162,32684,32478,61919,31081,30838,352,174,178,2762,1361,1401,8,6,2,9,6,3,15,7,8,11,6,5,86,43,43
C0101,33,602,05699,000000,Sub-District - Poonamallee,Urban,594760,300623,294137,509254,257918,251336,28392,14426,13966,53520,26624,26896,318,184,134,172,98,74,559,284,275,157,69,88,2388,1020,1368
C0101,33,602,05699,629152,Nadukuthagai (CT),Urban,9251,4603,4648,8283,4130,4153,330,161,169,623,307,316,0,0,0,0,0,0,6,1,5,1,0,1,8,4,4
C0101,33,602,05699,629153,Nemilicheri (CT),Urban,5743,2933,2810,4764,2454,2310,71,32,39,887,439,448,1,1,0,1,0,1,0,0,0,1,0,1,18,7,11
C0101,33,602,05699,629154,Kannapalayam (CT),Urban,4704,2354,2350,4472,2244,2228,38,17,21,182,89,93,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8
C0101,33,602,05699,629155,Senneerkuppam (CT),Urban,16237,8229,8008,14464,7339,7125,838,444,394,905,429,476,0,0,0,0,0,0,13,8,5,8,3,5,9,6,3
C0101,33,602,05699,629156,Nazarathpettai (CT),Urban,8660,4343,4317,8096,4058,4038,140,64,76,389,208,181,0,0,0,7,2,5,8,3,5,0,0,0,20,8,12
C0101,33,602,05699,629157,Kattupakkam (CT),Urban,23910,12134,11776,21498,10919,10579,546,273,273,1829,926,903,9,4,5,0,0,0,3,2,1,1,1,0,24,9,15
C0101,33,602,05699,803323,Avadi (M),Urban,345996,175658,170338,291446,148202,143244,15779,8158,7621,36990,18416,18574,253,144,109,117,66,51,271,141,130,119,52,67,1021,479,542
C0101,33,602,05699,803324,Thirunindravur (TP),Urban,37095,18400,18695,33057,16396,16661,1220,622,598,2618,1298,1320,6,4,2,2,1,1,16,6,10,1,1,0,175,72,103
C0101,33,602,05699,803325,Tiruverkadu (M + OG) (Part),Urban,62824,31779,31045,58518,29646,28872,863,455,408,3129,1549,1580,23,13,10,31,21,10,24,13,11,22,11,11,214,71,143
C0101,33,602,05699,803326,Thirumazhisai (TP),Urban,19733,9884,9849,18669,9354,9315,483,238,245,498,247,251,11,8,3,1,0,1,41,20,21,0,0,0,30,17,13
C0101,33,602,05699,803327,Poonamallee (M + OG),Urban,60607,30306,30301,45987,23176,22811,8084,3962,4122,5470,2716,2754,15,10,5,13,8,5,177,90,87,4,1,3,857,343,514
C0101,33,602,05700,000000,Sub-District - Ambattur,Total,906580,457820,448760,795204,402352,392852,32211,16349,15862,69196,34400,34796,459,249,210,299,166,133,1153,617,536,144,67,77,7914,3620,4294
C0101,33,602,05700,000000,Sub-District - Ambattur,Rural,54085,27585,26500,50426,25629,24797,921,481,440,2269,1121,1148,17,12,5,2,2,0,1,1,0,1,0,1,448,339,109
